song,genre
The Judge,Pop
Walk It Out,Hip hop
Walk It Out,Rap
What Comes Next?,Rap
We Don’t Talk Anymore (feat. Selena Gomez),Pop
Farmer's Daughter,Country
Say No To This,Hip hop
Drank In My Cup,Hip hop
Drank In My Cup,Rap
What Ifs (feat. Lauren Alaina),Country
Marvin Gaye (feat. Meghan Trainor),Pop
Tenerife Sea,Pop
I Know Him,R&B
Only the Good Die Young,Rock
One Last Time,Folk
What'd I Miss,Gospel
The World Was Wide Enough,Classical
Take a Break,Classical
That Would Be Enough,R&B
Sign of the Times,Pop
A Woman Like You,Country
Ten Duel Commandments,Rap
History Has Its Eyes On You,Country
I'm a Mess,Pop
Washington On Your Side,K pop
Happier,Pop
If I Had You,Pop
Never Again,Pop
Death of a Bachelor,Latin
Your Obedient Servant,Rap
How Would You Feel (Paean),Pop
The Election of 1800,R&B
The Reynolds Pamphlet,Hip hop
Adorn,R&B
Adorn,Gospel
A Winter's Ball,Gospel
The Story of Tonight (Reprise),Classical
Stay Alive (Reprise),K pop
Hurricane,Jazz
Stereo Hearts (feat. Adam Levine),Pop
Remember When,Country
Cool Kids,Metal
Blow Us All Away,Latin
Follow Me,Country
Rhiannon,Rock
Me & U (Main),Hip hop
Me & U (Main),Rap
The Adams Administration,Gospel
We Know,K pop
Dive,Pop
Treasure,Pop
Alive,R&B
Cabinet Battle #2,Pop
Stay Alive,Video game music
Best of Wives and Best of Women,Video game music
Cabinet Battle #1,Video game music
Schuyler Defeated,Rock
Meet Me Inside,Video game music
Farmer Refuted,Metal
House of Gold,EDM
Seasons of Love,Latin
Laffy Taffy,Hip hop
Laffy Taffy,Rap
Helena Beat,Gospel
Stricken,Rock
Shut Up and Let Me Go,Folk
Cough Syrup,Pop
18,Pop
You Make My Dreams (Come True),Rock
We Fly High,Hip hop
We Fly High,Rap
Smooth (feat. Rob Thomas),Rock
I'll Be,Pop
Meet Virginia,Rock
U Got It Bad,R&B
U Got It Bad,Gospel
"I'll Be Missing You (feat. Faith Evans, 112)",Hip hop
"I'll Be Missing You (feat. Faith Evans, 112)",Rap
Mama's Song,Country
Stand By You,Pop
Not About Angels,Rock
